repo,url,status,notes
0ut0fcontrol/test_openff,https://github.com/0ut0fcontrol/test_openff,auto,
ACoraor/OpenMM-Tools,https://github.com/ACoraor/OpenMM-Tools,auto,
AIB001/PRISM,https://github.com/AIB001/PRISM,auto,
AaronXu9/CogliandBench,https://github.com/AaronXu9/CogliandBench,auto,
AaronXu9/PoseBench,https://github.com/AaronXu9/PoseBench,auto,
Acellera/aceff_examples,https://github.com/Acellera/aceff_examples,auto,
Acellera/moleculekit,https://github.com/Acellera/moleculekit,auto,
Adi0521/ProPredict,https://github.com/Adi0521/ProPredict,auto,
Ameki0/ResFF,https://github.com/Ameki0/ResFF,auto,
Animosius/computational-science,https://github.com/Animosius/computational-science,auto,
BalytskyiJaroslaw/RAPID-Net,https://github.com/BalytskyiJaroslaw/RAPID-Net,auto,
BastiaanvHoorn/Fenix,https://github.com/BastiaanvHoorn/Fenix,auto,
BeBerasategi/Transformazio-alkimikoak,https://github.com/BeBerasategi/Transformazio-alkimikoak,auto,
BenCree/Protein-ligand-openmm-workflow,https://github.com/BenCree/Protein-ligand-openmm-workflow,auto,
BenCree/mace_off_types,https://github.com/BenCree/mace_off_types,auto,
BenCree/nagl_torsion,https://github.com/BenCree/nagl_torsion,auto,
BioMedAI-UCSC/openmm_generate,https://github.com/BioMedAI-UCSC/openmm_generate,auto,
BioMolDynamics/DeepPurpose-MD-Discovery,https://github.com/BioMolDynamics/DeepPurpose-MD-Discovery,auto,
BioinfoMachineLearning/MULTICOM_ligand,https://github.com/BioinfoMachineLearning/MULTICOM_ligand,auto,
BioinfoMachineLearning/PoseBench,https://github.com/BioinfoMachineLearning/PoseBench,auto,
BlacksheepJane/SurfMaker,https://github.com/BlacksheepJane/SurfMaker,auto,
Boehringer-Ingelheim/TorsionProfiler,https://github.com/Boehringer-Ingelheim/TorsionProfiler,auto,
ByteDance-Seed/bamboo_mixer,https://github.com/ByteDance-Seed/bamboo_mixer,auto,
ByteDance-Seed/byteff2,https://github.com/ByteDance-Seed/byteff2,auto,
ByteTora/teachopencadd-zh,https://github.com/ByteTora/teachopencadd-zh,auto,
CAODH/SurfDock,https://github.com/CAODH/SurfDock,auto,
CCBatIIT/Bridgeport,https://github.com/CCBatIIT/Bridgeport,auto,
CCPBioSim/CCP5_Simulation_of_BioMolecules,https://github.com/CCPBioSim/CCP5_Simulation_of_BioMolecules,auto,
CCPBioSim/biosim-analysis-workshop,https://github.com/CCPBioSim/biosim-analysis-workshop,auto,
CataAI/PoseX,https://github.com/CataAI/PoseX,auto,
ChenSTeam/Computational_docker_protocol,https://github.com/ChenSTeam/Computational_docker_protocol,auto,
Dan-Burns/eidos,https://github.com/Dan-Burns/eidos,auto,
David-Araripe/qligfepv2-BenchmarkExperiments,https://github.com/David-Araripe/qligfepv2-BenchmarkExperiments,auto,
DavidDevoogdt/IMLCV,https://github.com/DavidDevoogdt/IMLCV,auto,
Delfictus/SOTA-Dev,https://github.com/Delfictus/SOTA-Dev,auto,
DeokhyeonYoon/Practice_for_DrugDiscovery,https://github.com/DeokhyeonYoon/Practice_for_DrugDiscovery,auto,
Desperadus/StructOpt,https://github.com/Desperadus/StructOpt,auto,
EinsiaLab/Frontier-Engineering,https://github.com/EinsiaLab/Frontier-Engineering,auto,
EricBoittier/JaxPycharmm,https://github.com/EricBoittier/JaxPycharmm,auto,
EricChen521/atm,https://github.com/EricChen521/atm,auto,
Ericwang6/easybfe,https://github.com/Ericwang6/easybfe,auto,
Exscientia/StableNetGuardOwl,https://github.com/Exscientia/StableNetGuardOwl,auto,
FasikuChristian/Christian_Data_analytics,https://github.com/FasikuChristian/Christian_Data_analytics,auto,
FoldingAtHome/covid-moonshot,https://github.com/FoldingAtHome/covid-moonshot,auto,
FrankLovelace/BraggSpect,https://github.com/FrankLovelace/BraggSpect,auto,
Frostday/Agent4Molecule,https://github.com/Frostday/Agent4Molecule,auto,
GJPvWesten/acmdd,https://github.com/GJPvWesten/acmdd,auto,
Gallicchio-Lab/AToM-OpenMM,https://github.com/Gallicchio-Lab/AToM-OpenMM,auto,
Gallicchio-Lab/sbdd-on-a-laptop,https://github.com/Gallicchio-Lab/sbdd-on-a-laptop,auto,
