repo,stars,description,readme_summary,category
openforcefield/openff-interchange,92,"A project (and object) for storing, manipulating, and converting molecular mechanics data.",| **Test status** | [![CI Status](https://github.com/openforcefield/openff-interchange/workflows/ci/badge.svg)](https://github.com/openforcefield/openff-interchange/actions?query=branch%3Amain+workflow%3Aci) | [![pre-commit.ci status](https://results.pre-commit.ci/badge/github/openforcefield/openff-interchange/main.svg…,other
KexinZhangResearch/PhysDock,90,Physics-Guided All-Atom Diffusion Model for Accurate Protein-Ligand Complex Prediction,---,pose-generation
patrickbryant1/Cfold,83,Structure prediction of alternative protein conformations,**Structure prediction of alternative protein conformations**,other
bytedance/byteff,80,byteff source code,Welcome to the repository of ByteFF! This repository hosts the source code for ByteFF paper.,machine-learning
michellab/BioSimSpace,78,Code and resources for the EPSRC BioSimSpace project.,`BioSimSpace <http:/biosimspace.openbiosim.org>`__ ==================================================,md-setup-and-analysis
openforcefield/openff-bespokefit,75,Automated tools for the generation of bespoke SMIRNOFF format parameters for individual  molecules.,BespokeFit ============================== [//]: # (Badges),other
THGLab/HiQBind,75,Workflow to clean up and fix structural problems in protein-ligand binding datasets,"This repository contains scripts of HiQBind workflow, which organizes a bunch of open-source softwares to probe and fix structural problems in existing Protein-Ligand Datasets.",other
CataAI/PoseX,73,PoseX: A Molecular Docking Benchmark,"PoseX is a comprehensive benchmark dataset designed to evaluate molecular docking algorithms for predicting protein-ligand binding poses. It includes the construction process of Self-Docking and Cross-Docking datasets, as well as complete evaluation codes for different docking tools.",pose-generation
MSEP-one/msep.one,67,MSEP.one main application repository,"MSEP.one is a free and open-source software package, developed to help with today's scientific tasks and foster designs for the future of generative nanotechnology. The easy-to-learn interface makes building and simulating nanomachines fun and simple, perfect for students and hobbyists.",other
OpenFreeEnergy/ExampleNotebooks,65,Notebooks demonstrating how to do simple tasks related to free energy calculations.,Collection of notebooks for the Open FreeEnergy project. These can be run in the browser via the Colab links.,free-energy
bigginlab/ABFE_workflow,63,This is a SnakeMake based workflow for ABFE calculations that can be easily scaled in a high-throughput manner via Slurm for example.,"A snakemake based workflow for ABFE calculations using GMX. The workflow can be scaled on Slurm Queuing systems. Checkout our publication: [Ries, B; Alibay, I.; N. M. Anand; Magarkar, A.; Biggin, P. C. Automated Absolute Binding Free Energy Calculation Workflow for Drug Discovery. J. Chem. Inf. Model.",free-energy
openkinome/kinoml,62,Structure-informed machine learning for kinase modeling,KinoML ============================== [//]: # (Badges),machine-learning
graeter-group/grappa,60,A machine learned Molecular Mechanics force field with integration into GROMACS and OpenMM,_A machine learned molecular mechanics force field based on a graph attentional network_,machine-learning
jule-c/flowr,59,,"FLOWR is a research repository that investigates continuous and discrete flow matching methods applied to structure-based drug discovery. It provides a complete workflow for training models, generating novel ligand molecules, and evaluating the generated structures.",pose-generation
quantaosun/Dock-MD-FEP,59,"Open Source, Automated free binding free energy calculation between protein and small molecule. An all-in-one workflow, free energy pertubation with OpenMM.",*The current workflow may be unable to deal with multiple chained PDB bank protein structures*,free-energy
Psivant/femto,59,A comprehensive toolkit for predicting free energies,---,free-energy
FoldingAtHome/covid-moonshot,59,Scripts and input files associated with docking and free energy calculations for the COVID Moonshot,This repository contains all the scripts and output for docking and free energy calculations of [COVID Moonshot](https://covid.postera.ai/covid) submissions run on [Folding@home](http://foldingathome.org).,free-energy
openforcefield/openff-evaluator,58,A physical property evaluation toolkit from the Open Forcefield Consortium.,OpenFF Evaluator ================ [//]: # (Badges),other
ByteDance-Seed/bamboo_mixer,55,,"👋 Hi, everyone!",machine-learning
rinikerlab/GNNImplicitSolvent,54,Implicit Solvent Approach Based on Generalised Born and Transferable Graph Neural Networks for Molecular Dynamics Simulations,"[3] _J. Am. Chem. Soc._, **2025**, DOI: [https://doi.org/10.1021/jacs.4c17622](https://doi.org/10.1021/jacs.4c17622)",machine-learning
openmm/openmm_workshops,48,,"This repository contains the materials for the OpenMM workshop on 6 September 2024, as part of the [CCPBioSim Training Week 2024](https://www.ccpbiosim.ac.uk/training2024).",md-setup-and-analysis
atomCAD/atomCAD,47,,"atomCAD is a CAD application for Atomically Precise Manufacturing (APM). With atomCAD you can design arbitrary covalently bonded atomic structures that are constrained to a crystal lattice and suitable for physical (and, in the future, manufacturable) workflows.",other
asapdiscovery/asapdiscovery,47,Toolkit for open antiviral drug discovery by the ASAP Discovery Consortium,asapdiscovery ============= [//]: # (Badges),other
choderalab/espaloma-charge,47,Standalone charge assignment from Espaloma framework.,Espaloma Charge =======,machine-learning
openforcefield/openff-fragmenter,47,Fragment molecules for quantum mechanics torsion scans,A package for fragmenting molecules for quantum mechanics torsion scans.,other
pablo-arantes/Cloud-Bind,46,Cloud-based Drug Binding Structure Prediction,**Cloud-Based Drug Binding Structure Prediction**,pose-generation
dkoes/md-scripts,45,A collections of scripts for working molecular dynamics simulations,,md-setup-and-analysis
forlilab/molscrub,45,"Enumerate conformational, protomeric, and pH-related microstates for docking with AutoDock",Process large numbers of small molecules for docking with AutoDock. May be useful for structure-based modeling in general.,pose-generation
itWangCode/AI-Drug-Discovery-Design,45,AI drug design,AI-Drive drug Discovery & design ==============,other
rinikerlab/amp_bms,43,,AMP-BMS is a multiscale neural network potential trained on QM/MM data with electrostatic embedding for the simulations of biomolecules in the condensed phase.,machine-learning
molecularmodelinglab/plantain,42,Fast and accurate molecular docking with an AI pose scoring function,Implementation of PLANTAIN (Predicting LigANd pose wiTh an AI scoring functioN). PLANTAIN is a new AI docking algorithm that achieves state-of-the-art results while being significantly faster than alternatives.,pose-generation
