,package,total_downloads
0,openff-toolkit,257984
1,openff-evaluator,36411
2,openff-interchange,130990
3,openff-bespokefit,6822
4,openff-recharge,26296
5,openff-qcsubmit,17320
6,openff-fragmenter,9223
7,openff-utilities,197723
8,openff-units,196927
9,openff-models,49142
10,openff-nagl,7489
