repo,url,how,evidence_url
BlacksheepJane/SurfMaker,https://github.com/BlacksheepJane/SurfMaker,import openff.toolkit (Python),https://github.com/BlacksheepJane/SurfMaker/blob/2e8120e3ced4677e44da723518f44989b027f6c4/surfdock/force_optimize/minimize_utils.py
Boehringer-Ingelheim/TorsionProfiler,https://github.com/Boehringer-Ingelheim/TorsionProfiler,import openff.toolkit (Python),https://github.com/Boehringer-Ingelheim/TorsionProfiler/blob/361e8448f9df783df77eb5344f51a49e07d528de/src/torsion_profiler/engines/off_calculator.py
ByteDance-Seed/bamboo_mixer,https://github.com/ByteDance-Seed/bamboo_mixer,import openff.toolkit (Python),https://github.com/ByteDance-Seed/bamboo_mixer/blob/fd2ea327c01d5cafecbcae9a9dc83070091f54b9/bamboo_mixer/mol/rkutil/match_and_map.py
ByteTora/teachopencadd-zh,https://github.com/ByteTora/teachopencadd-zh,import openff.toolkit (Jupyter notebook),https://github.com/ByteTora/teachopencadd-zh/blob/a5eef86a3626ce6ff1ca397380585533bcac305d/teachopencadd/%E6%95%99%E7%A8%8B/T019_%E5%88%86%E5%AD%90%E5%8A%A8%E5%8A%9B%E5%AD%A6%E6%A8%A1%E6%8B%9F/talktorial.ipynb
CAODH/SurfDock,https://github.com/CAODH/SurfDock,import openff.toolkit (Python),https://github.com/CAODH/SurfDock/blob/6420335c79c7dc83157ffc2ea8e15f84f4bf5e5c/force_optimize/minimize_utils.py
CCBatIIT/Bridgeport,https://github.com/CCBatIIT/Bridgeport,import openff.toolkit (Python),https://github.com/CCBatIIT/Bridgeport/blob/aa4f441e2850b6a98e9c61a7aca0ff7db292ae38/utils/utils.py
CCPBioSim/CCP5_Simulation_of_BioMolecules,https://github.com/CCPBioSim/CCP5_Simulation_of_BioMolecules,import openff.toolkit (Jupyter notebook),https://github.com/CCPBioSim/CCP5_Simulation_of_BioMolecules/blob/52a7d5f3147e9d842e88228dbba626ec5d92174d/4_Simulation_Setup/4_Simulation_Setup.ipynb
CCPBioSim/biosim-analysis-workshop,https://github.com/CCPBioSim/biosim-analysis-workshop,import openff.toolkit (Jupyter notebook),https://github.com/CCPBioSim/biosim-analysis-workshop/blob/36d2f063b78993a8abcd0b5acd5328deb0d02370/4_Simulation_Setup/4_Simulation_Setup.ipynb
CCSun21/himatcal,https://github.com/CCSun21/himatcal,import openff.toolkit (Python),https://github.com/CCSun21/himatcal/blob/1619bb423fb0a5fe452d8740fb8088cf79a8a3a2/examples/EleCal/openMM/test_GAFF.py
CataAI/PoseX,https://github.com/CataAI/PoseX,import openff.toolkit (Python),https://github.com/CataAI/PoseX/blob/3d563881f9744e480e26799bbd9ebf88be1ff435/dataset/utils/repair_pdb.py
ChenSTeam/Computational_docker_protocol,https://github.com/ChenSTeam/Computational_docker_protocol,import openff.toolkit (Python),https://github.com/ChenSTeam/Computational_docker_protocol/blob/1d53e94d782bdcc658abcd8a0ae5bf31aec382cb/md_protocol/build/scripts/md_protein_ligand.py
Dan-Burns/eidos,https://github.com/Dan-Burns/eidos,import openff.toolkit (Python),https://github.com/Dan-Burns/eidos/blob/61ac374f629271d907e229c1ae9c3fb3935484c4/model/model.py
David-Araripe/qligfepv2-BenchmarkExperiments,https://github.com/David-Araripe/qligfepv2-BenchmarkExperiments,import openff.toolkit (Jupyter notebook),https://github.com/David-Araripe/qligfepv2-BenchmarkExperiments/blob/ffa0b2cfa565fda8fc3d935e4fc44c1970fde208/startFiles/restraint_check.ipynb
DavidDevoogdt/IMLCV,https://github.com/DavidDevoogdt/IMLCV,import openff.toolkit (Python),https://github.com/DavidDevoogdt/IMLCV/blob/d42ffee508d20d4c95d92dbff2077b6ac36c224a/src/IMLCV/data/main.py
DeokhyeonYoon/Practice_for_DrugDiscovery,https://github.com/DeokhyeonYoon/Practice_for_DrugDiscovery,import openff.toolkit (Jupyter notebook),https://github.com/DeokhyeonYoon/Practice_for_DrugDiscovery/blob/da8c05e2b4e53f95e0ebd3201c14d2e2b9d00ec8/Chemical_similarity_search_and_Ligand_stability(vertualscreening)/tutorial_8.ipynb
EinsiaLab/Frontier-Engineering,https://github.com/EinsiaLab/Frontier-Engineering,import openff.toolkit (Python),https://github.com/EinsiaLab/Frontier-Engineering/blob/a44f9da693b8b76565cb0716c77b0740163123d4/benchmarks/MolecularMechanics/torsion_profile_fitting/verification/evaluate.py
EricBoittier/JaxPycharmm,https://github.com/EricBoittier/JaxPycharmm,openff-toolkit in pyproject.toml,https://github.com/EricBoittier/JaxPycharmm/blob/c62e804cbc0034c42d8ccc38adf689c06aca3048/pyproject.toml
EricChen521/atm,https://github.com/EricChen521/atm,openff-toolkit in pyproject.toml,https://github.com/EricChen521/atm/blob/c13be5125c6017b33b3a110ce46bd5e80c7175b2/pyproject.toml
Ericwang6/easybfe,https://github.com/Ericwang6/easybfe,import openff.toolkit (Python),https://github.com/Ericwang6/easybfe/blob/fc2c152573ecb6d0f592864eb905926f8f4a3953/easybfe/docking/embed.py
Exscientia/StableNetGuardOwl,https://github.com/Exscientia/StableNetGuardOwl,import openff.toolkit (Python),https://github.com/Exscientia/StableNetGuardOwl/blob/71f8a52bf79a667503b03543d35b1e5c2207f9bd/guardowl/testsystems.py
FasikuChristian/Christian_Data_analytics,https://github.com/FasikuChristian/Christian_Data_analytics,import openff.toolkit (Jupyter notebook),https://github.com/FasikuChristian/Christian_Data_analytics/blob/ff3990658ab5b4240d9cf900e408435c35aa9b5c/Md_simulation_raw_code_openMM.ipynb
FoldingAtHome/covid-moonshot,https://github.com/FoldingAtHome/covid-moonshot,openff-toolkit in environment.yml,https://github.com/FoldingAtHome/covid-moonshot/blob/814189c239f8f0189c6cc48afcbca1f96c87dd09/synthetic-enumeration/sprint-12/environment.yml
GJPvWesten/acmdd,https://github.com/GJPvWesten/acmdd,import openff.toolkit (Jupyter notebook),https://github.com/GJPvWesten/acmdd/blob/f970083af5bec9af6112145c2beb3e66ff1bfdef/2_TeachOpenCADD/teachopencadd/talktorials/T019_md_simulation/talktorial.ipynb
Gallicchio-Lab/AToM-OpenMM,https://github.com/Gallicchio-Lab/AToM-OpenMM,import openff.toolkit (Python),https://github.com/Gallicchio-Lab/AToM-OpenMM/blob/bbab4d96f9401b827ba20d16577c0a6135d26979/atom_openmm/make_atm_system_from_pdb.py
GilsonLabUCSD/pAPRika,https://github.com/GilsonLabUCSD/pAPRika,import openff.toolkit (Jupyter notebook),https://github.com/GilsonLabUCSD/pAPRika/blob/825e1d1e4b815e47d952ca2dc7cf14868cfd9523/docs/tutorials/08-tutorial-sug-roc-notleap.ipynb
Girish09-work/Reinvent-Scoring,https://github.com/Girish09-work/Reinvent-Scoring,import openff.toolkit (Python),https://github.com/Girish09-work/Reinvent-Scoring/blob/957e3fd13778d9eaa118bff74816e927ddfbfd31/reinvent_scoring/scoring/score_components/roshambo/openmm_minimize1.py
Grenzlinie/MatTools,https://github.com/Grenzlinie/MatTools,import openff.toolkit (Python),https://github.com/Grenzlinie/MatTools/blob/1803a6abfe23a9da56c894076c59117873b758ff/src/tool_source_code/pymatgen/src/pymatgen/io/openff.py
HBioquant/DiffBindFR,https://github.com/HBioquant/DiffBindFR,import openff.toolkit (Python),https://github.com/HBioquant/DiffBindFR/blob/b8bb82027fab5e74fc83ce2a44c0f920a9012ad3/DiffBindFR/relax/pl.py
HaoLan-compchem/blog_03_12_2025,https://github.com/HaoLan-compchem/blog_03_12_2025,import openff.toolkit (Jupyter notebook),https://github.com/HaoLan-compchem/blog_03_12_2025/blob/36853842d0a3b13880118e941c3bfa5aaa95b218/ternary_complex/smd/smd_workflow.ipynb
HaoLan-compchem/blog_16_03_2026,https://github.com/HaoLan-compchem/blog_16_03_2026,import openff.toolkit (Jupyter notebook),https://github.com/HaoLan-compchem/blog_16_03_2026/blob/5bb6203ea62300bab3310ff76596e189042fbdd4/covalent_docking_VS/IKZF2/workflow.ipynb
Hekstra-Lab/EF-X-crystal-MD,https://github.com/Hekstra-Lab/EF-X-crystal-MD,import openff.toolkit (Python),https://github.com/Hekstra-Lab/EF-X-crystal-MD/blob/2ec1edfca7e6c37248783bff5569c6348a4232ef/Production_runs/thz_continuous_simulation.py
HiteSit/HTS_CompChem,https://github.com/HiteSit/HTS_CompChem,from openff.toolkit import ... (Python),https://github.com/HiteSit/HTS_CompChem/blob/7ca699c1f83c742006c607b89312fa90bba2fcd2/OpenMM_OpenFF_VanillaMD_MMPBSA/Apo_Plain_MD.py
HiteSit/PyMol_Fitter,https://github.com/HiteSit/PyMol_Fitter,import openff.toolkit (Python),https://github.com/HiteSit/PyMol_Fitter/blob/f8db24c9004be3c4f5acb4555bdd1b094a8d90ad/pymol_fitter_server/pymol_fitter_src/Protein_Minimization.py
IAlibay/alchemiscale-utilities,https://github.com/IAlibay/alchemiscale-utilities,import openff.toolkit (Python),https://github.com/IAlibay/alchemiscale-utilities/blob/b41af1b54a2611021514fb734b0fed6b6adc58d9/pontibus/mnsol/gen_network.py
IAlibay/partial_charge_experiments,https://github.com/IAlibay/partial_charge_experiments,import openff.toolkit (Python),https://github.com/IAlibay/partial_charge_experiments/blob/8bb003f237fa112341d9d306e3a4a1aee5292fac/scripts/get-elf1-conformer.py
JHoeflich1/Co_optimization_refit,https://github.com/JHoeflich1/Co_optimization_refit,import openff.toolkit (Python),https://github.com/JHoeflich1/Co_optimization_refit/blob/843cfb1a21bcff25dd34b94a7cae9f3bb84c94b0/02_refit/workflow.py
JHoeflich1/OpenFFLipid,https://github.com/JHoeflich1/OpenFFLipid,import openff.toolkit (Python),https://github.com/JHoeflich1/OpenFFLipid/blob/5e3e8028816cead9915d0e24d570126f4925126c/AlkaneDiffusion/Scripts/buildWater.py
JHoeflich1/Shirts_2023,https://github.com/JHoeflich1/Shirts_2023,import openff.toolkit (Python),https://github.com/JHoeflich1/Shirts_2023/blob/66d6c5e6c4c78d9b779aff228ce66c52cb36eac3/helpful_code/BuildPackMolecules.py
JMorado/SCALeJ,https://github.com/JMorado/SCALeJ,import openff.toolkit (Python),https://github.com/JMorado/SCALeJ/blob/208c9253afcc1a5fe8cc0f5a62456962614a8d7f/scalej/data/_io.py
JacobCote/EasyMD,https://github.com/JacobCote/EasyMD,import openff.toolkit (Python),https://github.com/JacobCote/EasyMD/blob/5c1532701d543262c1448dc4a81fff656e602447/src/EasyMD/restart/restarter.py
JelfsMaterialsGroup/stko,https://github.com/JelfsMaterialsGroup/stko,import openff.toolkit (Python),https://github.com/JelfsMaterialsGroup/stko/blob/574977cbc5f0c2c0ef19859f5d25a41a7170e68e/src/stko/_internal/optimizers/openmm.py
Jingbang-Chen/mixup-meta-protein-simulators,https://github.com/Jingbang-Chen/mixup-meta-protein-simulators,openff-toolkit in requirements.txt,https://github.com/Jingbang-Chen/mixup-meta-protein-simulators/blob/24787b636a299a36a8870693208cb81624907529/requirements.txt
JoeVonDahab/new_md,https://github.com/JoeVonDahab/new_md,import openff.toolkit (Python),https://github.com/JoeVonDahab/new_md/blob/1c71cc1a61c6c4eaf7cfc715d534fb85ed606b96/src/easy_md/utils/fileparser.py
KexinZhangResearch/PhysDock,https://github.com/KexinZhangResearch/PhysDock,import openff.toolkit (Python),https://github.com/KexinZhangResearch/PhysDock/blob/7c26bffddde30856cd180a499be93f60d93aadfa/PhysDock/data/relaxation.py
Laxman44/infotube,https://github.com/Laxman44/infotube,import openff.toolkit (Jupyter notebook),https://github.com/Laxman44/infotube/blob/545da2981e2a5364a641a55dffbc496541491211/Protein_ligand.ipynb
LeifSeute/grappa-data-creation,https://github.com/LeifSeute/grappa-data-creation,import openff.toolkit (Python),https://github.com/LeifSeute/grappa-data-creation/blob/e3134c232e58c38c72e821513c6b73346a9e461e/3bpa-evaluation/make_dataset.py
LindeSchoenmaker/IMERGE-FEP,https://github.com/LindeSchoenmaker/IMERGE-FEP,import openff.toolkit (Python),https://github.com/LindeSchoenmaker/IMERGE-FEP/blob/979a289c1fc061fc9c04c976696e03471aa33992/rhfe_gromacs/lig_topology.py
MMLabCodes/data-driven-representative-models-of-biobased-complex-fluids,https://github.com/MMLabCodes/data-driven-representative-models-of-biobased-complex-fluids,openff-toolkit in environment.yml,https://github.com/MMLabCodes/data-driven-representative-models-of-biobased-complex-fluids/blob/4c207b418bc6b0ba495357de6bd83ec45274c8fe/docs/environment.yml
MSEP-one/msep.one,https://github.com/MSEP-one/msep.one,import openff.toolkit (Python),https://github.com/MSEP-one/msep.one/blob/2000dbad2d8d3a2096372a50bd056470402166e3/godot_project/python/scripts/patches/patch_frozen_molecule.py
Martin-Floor/prepare_proteins,https://github.com/Martin-Floor/prepare_proteins,from openff.toolkit import ... (Python),https://github.com/Martin-Floor/prepare_proteins/blob/263fc0fb974db9ab80388bb1ec2961097cfdfd42/prepare_proteins/MD/parameterization/openff.py
MaterSim/HTOCSP,https://github.com/MaterSim/HTOCSP,openff-toolkit in environment.yml,https://github.com/MaterSim/HTOCSP/blob/272a37a6399aeb0f1d28f29b5d46fa69b8a8c57a/environment.yml
MaterSim/pyocse,https://github.com/MaterSim/pyocse,import openff.toolkit (Python),https://github.com/MaterSim/pyocse/blob/956bc44f35940f9ad0a026a56a3e13d51bfeec47/pyocse/forcefield.py
MauriceKarrenbrock/HPC_Drug,https://github.com/MauriceKarrenbrock/HPC_Drug,import openff.toolkit (Python),https://github.com/MauriceKarrenbrock/HPC_Drug/blob/bd2cde670e5001726170c96cf0acd87dd105682e/scripts/prepare_pdb.py
Micaet/Molecular-Modeling-in-Drug-Discovery,https://github.com/Micaet/Molecular-Modeling-in-Drug-Discovery,import openff.toolkit (Python),https://github.com/Micaet/Molecular-Modeling-in-Drug-Discovery/blob/a6046b5e74becec44ec4f7b973b66a5b4fed0a65/Molecular_Dynamics.py
Mika-Le/PPIP5K2_Pipeline_Master_Thesis,https://github.com/Mika-Le/PPIP5K2_Pipeline_Master_Thesis,from openff.toolkit import ... (Python),https://github.com/Mika-Le/PPIP5K2_Pipeline_Master_Thesis/blob/729020188a5c60e118899f2a89cd34b110f6ee5d/scripts/mdsim.py
MobleyLab/SeparatedTopologies,https://github.com/MobleyLab/SeparatedTopologies,import openff.toolkit (Python),https://github.com/MobleyLab/SeparatedTopologies/blob/e7f712379472ea320cc049a78b19405014d8bbce/boresch_restraints.py
MobleyLab/drug-computing,https://github.com/MobleyLab/drug-computing,import openff.toolkit (Jupyter notebook),https://github.com/MobleyLab/drug-computing/blob/f4aa6b388a891bbc97d1a5d218204f62e2250531/uci-pharmsci/lectures/SMIRNOFF_simulations/mixture_simulations.ipynb
MobleyLab/fitting-exp,https://github.com/MobleyLab/fitting-exp,import openff.toolkit (Python),https://github.com/MobleyLab/fitting-exp/blob/1bdcadaeeb7cbf48932d26fe9ba502b86da80a5c/iter25/1.5_elf10_check.py
