zenodo_id,doi,title,creators,publication_year,resource_type
18350609,10.5281/zenodo.18350609,openforcefield/yammbs: 0.3.1,Matt Thompson; Brent Westbrook; Finlay Clark; Lily Wang; Alexandra (Lexie) McIsaac; James R. Baggs Eastwood,2026,software
20145322,10.5281/zenodo.20145322,openforcefield/yammbs: 0.4.0,Matt Thompson; Brent Westbrook; Ashley Mitchell; Finlay Clark; Lily Wang; Alexandra (Lexie) McIsaac; James R. Baggs Eastwood,2026,software
