zenodo_id,doi,title,creators,publication_year,resource_type
14861711,10.5281/zenodo.14861711,openforcefield/openff-qcsubmit: 0.55.0,JoshHorton; Josh Horton; Matt Thompson; SimonBoothroyd; trevorgokey; David L. Dotson; Brent Westbrook; Jeff Wagner; Josh A. Mitchell; Chapin Cavender; Alexandra McIsaac; John Chodera,2025,software
15466185,10.5281/zenodo.15466185,openforcefield/openff-qcsubmit: 0.56.0,JoshHorton; Josh Horton; Matt Thompson; SimonBoothroyd; trevorgokey; David L. Dotson; Brent Westbrook; Jeff Wagner; Josh A. Mitchell; Chapin Cavender; Alexandra (Lexie) McIsaac; John Chodera,2025,software
10565269,10.5281/zenodo.10565269,openforcefield/openff-qcsubmit: 0.50.2,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David L. Dotson; Matt Thompson; Josh A. Mitchell; Brent Westbrook; Jeff Wagner; Chapin Cavender; John Chodera,2024,software
10854686,10.5281/zenodo.10854686,openforcefield/openff-qcsubmit: 0.50.3,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David L. Dotson; Matt Thompson; Brent Westbrook; Josh A. Mitchell; Jeff Wagner; Chapin Cavender; John Chodera,2024,software
11051795,10.5281/zenodo.11051795,openforcefield/openff-qcsubmit: 0.51.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; Matt Thompson; David L. Dotson; Brent Westbrook; Josh A. Mitchell; Jeff Wagner; Chapin Cavender; John Chodera,2024,software
12795584,10.5281/zenodo.12795584,openforcefield/openff-qcsubmit: 0.52.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; Matt Thompson; David L. Dotson; Brent Westbrook; Jeff Wagner; Josh A. Mitchell; Chapin Cavender; John Chodera,2024,software
13315560,10.5281/zenodo.13315560,openforcefield/openff-qcsubmit: 0.53.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; Matt Thompson; David L. Dotson; Brent Westbrook; Jeff Wagner; Josh A. Mitchell; Chapin Cavender; John Chodera,2024,software
14052848,10.5281/zenodo.14052848,openforcefield/openff-qcsubmit: 0.54.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; Matt Thompson; David L. Dotson; Brent Westbrook; Jeff Wagner; Josh A. Mitchell; Chapin Cavender; John Chodera,2024,software
7510744,10.5281/zenodo.7510744,openforcefield/openff-qcsubmit: 0.4.1,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David Dotson; Josh A. Mitchell; Matt Thompson; Chapin Cavender; John Chodera,2023,software
8253341,10.5281/zenodo.8253341,openforcefield/openff-qcsubmit: 0.5.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David L. Dotson; Brent Westbrook; Matt Thompson; Josh A. Mitchell; Jeff Wagner; Chapin Cavender; John Chodera,2023,software
10060049,10.5281/zenodo.10060049,openforcefield/openff-qcsubmit: 0.50.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David L. Dotson; Josh A. Mitchell; Brent Westbrook; Matt Thompson; Jeff Wagner; Chapin Cavender; John Chodera,2023,software
10106441,10.5281/zenodo.10106441,openforcefield/openff-qcsubmit: 0.50.1,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David L. Dotson; Josh A. Mitchell; Brent Westbrook; Matt Thompson; Jeff Wagner; Chapin Cavender; John Chodera,2023,software
6338096,10.5281/zenodo.6338096,openforcefield/openff-qcsubmit: 0.3.1,Josh Horton,2022,software
7305244,10.5281/zenodo.7305244,openforcefield/openff-qcsubmit: 0.3.2,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David Dotson; Josh A. Mitchell; Matt Thompson; Chapin Cavender; John Chodera,2022,software
7320745,10.5281/zenodo.7320745,openforcefield/openff-qcsubmit: 0.4.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David Dotson; Josh A. Mitchell; Matt Thompson; Chapin Cavender; John Chodera,2022,software
5503442,10.5281/zenodo.5503442,openforcefield/openff-qcsubmit: 0.2.3,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David Dotson; John Chodera; Matt Thompson,2021,software
5571564,10.5281/zenodo.5571564,openforcefield/openff-qcsubmit: 0.2.4,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David Dotson; John Chodera; Matt Thompson,2021,software
5727883,10.5281/zenodo.5727883,openforcefield/openff-qcsubmit: 0.3.0,JoshHorton; Josh Horton; SimonBoothroyd; trevorgokey; David Dotson; John Chodera; Matt Thompson,2021,software
