,pkg_name,time,counts,year
8,openff-fragmenter,2022-02,59,2022
9,openff-fragmenter,2022-03,68,2022
10,openff-fragmenter,2022-04,65,2022
11,openff-fragmenter,2022-05,175,2022
12,openff-fragmenter,2022-06,100,2022
13,openff-fragmenter,2022-07,100,2022
14,openff-fragmenter,2022-08,99,2022
15,openff-fragmenter,2022-09,481,2022
16,openff-fragmenter,2022-10,257,2022
17,openff-fragmenter,2022-11,263,2022
18,openff-fragmenter,2022-12,214,2022
19,openff-fragmenter,2023-01,204,2023
20,openff-fragmenter,2023-02,153,2023
21,openff-fragmenter,2023-03,282,2023
22,openff-fragmenter,2023-04,414,2023
23,openff-fragmenter,2023-05,350,2023
24,openff-fragmenter,2023-06,374,2023
0,openff-utilities,2021-05,594,2021
1,openff-utilities,2021-06,1343,2021
2,openff-utilities,2021-07,1355,2021
3,openff-utilities,2021-08,2637,2021
4,openff-utilities,2021-09,3409,2021
5,openff-utilities,2021-10,2467,2021
6,openff-utilities,2021-11,3993,2021
7,openff-utilities,2021-12,3324,2021
8,openff-utilities,2022-01,3440,2022
9,openff-utilities,2022-02,3109,2022
10,openff-utilities,2022-03,5036,2022
11,openff-utilities,2022-04,6140,2022
12,openff-utilities,2022-05,5068,2022
13,openff-utilities,2022-06,5355,2022
14,openff-utilities,2022-07,5119,2022
15,openff-utilities,2022-08,8256,2022
16,openff-utilities,2022-09,8628,2022
17,openff-utilities,2022-10,9468,2022
18,openff-utilities,2022-11,10842,2022
19,openff-utilities,2022-12,10623,2022
20,openff-utilities,2023-01,7097,2023
21,openff-utilities,2023-02,197,2023
22,openff-utilities,2023-03,165,2023
23,openff-utilities,2023-04,244,2023
24,openff-utilities,2023-05,128,2023
25,openff-utilities,2023-06,115,2023
0,openff-units,2021-05,127,2021
1,openff-units,2021-06,1364,2021
2,openff-units,2021-07,1270,2021
3,openff-units,2021-08,2332,2021
4,openff-units,2021-09,3101,2021
5,openff-units,2021-10,2287,2021
6,openff-units,2021-11,3613,2021
7,openff-units,2021-12,2925,2021
8,openff-units,2022-01,3195,2022
9,openff-units,2022-02,2805,2022
10,openff-units,2022-03,4525,2022
11,openff-units,2022-04,5880,2022
12,openff-units,2022-05,4556,2022
13,openff-units,2022-06,4933,2022
14,openff-units,2022-07,4784,2022
15,openff-units,2022-08,7991,2022
16,openff-units,2022-09,8420,2022
17,openff-units,2022-10,9164,2022
18,openff-units,2022-11,10849,2022
19,openff-units,2022-12,10638,2022
20,openff-units,2023-01,11394,2023
21,openff-units,2023-02,14366,2023
22,openff-units,2023-03,18831,2023
23,openff-units,2023-04,20130,2023
24,openff-units,2023-05,3052,2023
25,openff-units,2023-06,372,2023
0,openff-models,2022-11,187,2022
1,openff-models,2022-12,634,2022
2,openff-models,2023-01,33,2023
3,openff-models,2023-02,26,2023
4,openff-models,2023-03,36,2023
5,openff-models,2023-04,75,2023
6,openff-models,2023-05,27,2023
7,openff-models,2023-06,28,2023
