,time,counts,cumulative
0,2021-01,1665,1665
1,2021-02,4671,6336
2,2021-03,5269,11605
3,2021-04,6058,17663
4,2021-05,6889,24552
5,2021-06,7588,32140
6,2021-07,7147,39287
7,2021-08,8341,47628
8,2021-09,7388,55016
9,2021-10,6635,61651
10,2021-11,9523,71174
11,2021-12,7465,78639
12,2022-01,6957,85596
13,2022-02,7632,93228
14,2022-03,12592,105820
15,2022-04,12244,118064
16,2022-05,10770,128834
17,2022-06,11296,140130
18,2022-07,11561,151691
19,2022-08,14478,166169
20,2022-09,12211,178380
21,2022-10,11983,190363
22,2022-11,12988,203351
23,2022-12,12305,215656
24,2023-01,12825,228481
25,2023-02,14924,243405
26,2023-03,450,243855
27,2023-04,530,244385
28,2023-05,796,245181
29,2023-06,874,246055
