DOI,title,authors,year,scholar_cluster_id,chemrxiv_id,source_orcids,author_overlap_count
10.26434/CHEMRXIV-2025-597H9/V2,Developing and benchmarking Sage 2.3.0 with the AshGC neural network charge model,Lily Wang; Irfan Alibay; Simon Boothroyd; Chapin Cavender; Joshua Horton; Alexandra McIsaac; Joshua Mitchell; Matthew Thompson; Jeffrey Wagner; Brent Westbrook; Christopher Bayly; John Chodera; Daniel Cole; James Eastwood; Michael Shirts; David Mobley,2026,16173388914759319197,,0000-0002-6095-6704,3
10.1021/ACS.JCTC.3C00039,Development and Benchmarking of Open Force Field 2.0.0: The Sage Small Molecule Force Field,Simon Boothroyd; Pavan Kumar Behara; Owen C. Madin; David F. Hahn; Hyesu Jang; Vytautas Gapsys; Jeffrey R. Wagner; Joshua T. Horton; David L. Dotson; Matthew W. Thompson; Jessica Maat; Trevor Gokey; Lee-Ping Wang; Daniel J. Cole; Michael K. Gilson; John D. Chodera; Christopher I. Bayly; Michael R. Shirts; David L. Mobley,2023,8359765322967275002,,0000-0003-2933-0719; 0000-0003-3249-1097,5
10.1021/ACS.JCTC.1C00571,Development and Benchmarking of Open Force Field v1.0.0--the Parsley Small-Molecule Force Field,Yudong Qiu; Daniel G. A. Smith; Simon Boothroyd; Hyesu Jang; David F. Hahn; Jeffrey Wagner; Caitlin C. Bannan; Trevor Gokey; Victoria T. Lim; Chaya D. Stern; Andrea Rizzi; Bryon Tjanaka; Gary Tresadern; Xavier Lucas; Michael R. Shirts; Michael K. Gilson; John D. Chodera; Christopher I. Bayly; David L. Mobley; Lee-Ping Wang,2021,17983662759197080071,,0000-0002-3456-1872; 0000-0002-1083-5533; 0000-0003-3249-1097,5
10.1021/ACS.JCTC.8B00640,Escaping Atom Types in Force Fields Using Direct Chemical Perception,David L. Mobley; Caitlin C. Bannan; Andrea Rizzi; Christopher I. Bayly; John D. Chodera; Victoria T. Lim; Nathan M. Lim; Kyle A. Beauchamp; David R. Slochower; Michael R. Shirts; Michael K. Gilson; Peter K. Eastman,2018,11625810612387726681,,0000-0002-1083-5533; 0000-0003-3249-1097; 0000-0003-3249-1097,3
