package,category
openff-amber-ff-ports,openff
openff-bespokefit,openff
openff-evaluator,openff
openff-evaluator-base,openff
openff-forcefields,openff
openff-fragmenter,openff
openff-fragmenter-base,openff
openff-interchange,openff
openff-interchange-base,openff
openff-models,openff
openff-nagl,openff
openff-nagl-base,openff
openff-nagl-models,openff
openff-qcsubmit,openff
openff-recharge,openff
openff-toolkit,openff
openff-toolkit-base,openff
openff-toolkit-examples,openff
openff-units,openff
openff-utilities,openff
ambertools,competitor
parmed,competitor
