DOI,title,authors,year,scholar_cluster_id,chemrxiv_id,source_orcids,author_overlap_count
10.1021/ACS.JPCB.4C01558,The Open Force Field Initiative: Open Software and Open Science for Molecular Modeling,Lily Wang; Pavan Kumar Behara; Matthew W. Thompson; Trevor Gokey; Yuanqing Wang; Jeffrey R. Wagner; Daniel J. Cole; Michael K. Gilson; Michael R. Shirts; David L. Mobley,2024,,,0000-0003-2933-0719; 0000-0002-1083-5533; 0000-0002-6095-6704; 0000-0002-3375-1738; 0000-0003-3249-1097,5
10.1021/ACS.JCTC.3C00039,Development and Benchmarking of Open Force Field 2.0.0: The Sage Small Molecule Force Field,Simon Boothroyd; Pavan Kumar Behara; Owen C. Madin; David F. Hahn; Hyesu Jang; Vytautas Gapsys; Jeffrey R. Wagner; Joshua T. Horton; David L. Dotson; Matthew W. Thompson; Jessica Maat; Trevor Gokey; Lee-Ping Wang; Daniel J. Cole; Michael K. Gilson; John D. Chodera; Christopher I. Bayly; Michael R. Shirts; David L. Mobley,2023,,,0000-0003-2933-0719; 0000-0003-3249-1097,5
10.1021/ACS.JCTC.1C00571,Development and Benchmarking of Open Force Field v1.0.0—the Parsley Small-Molecule Force Field,Yudong Qiu; Daniel G. A. Smith; Simon Boothroyd; Hyesu Jang; David F. Hahn; Jeffrey Wagner; Caitlin C. Bannan; Trevor Gokey; Victoria T. Lim; Chaya D. Stern; Andrea Rizzi; Bryon Tjanaka; Gary Tresadern; Xavier Lucas; Michael R. Shirts; Michael K. Gilson; John D. Chodera; Christopher I. Bayly; David L. Mobley; Lee-Ping Wang,2021,,,0000-0002-3456-1872; 0000-0002-1083-5533; 0000-0003-3249-1097,5
10.1021/ACS.JCTC.5C01520,A Graph Neural Network Charge Model Targeting Accurate Electrostatic Properties of Organic Molecules,Charlie Adams; Joshua T. Horton; Lily Wang; Simon Boothroyd; David L. Mobley; David W. Wright; Daniel J. Cole,2025,,,0000-0002-3456-1872; 0000-0003-2933-0719; 0000-0002-1083-5533,4
10.1021/ACS.JCIM.2C01153,Open Force Field BespokeFit: Automating Bespoke Torsion Parametrization at Scale,Joshua T. Horton; Simon Boothroyd; Jeffrey Wagner; Joshua A. Mitchell; Trevor Gokey; David L. Dotson; Pavan Kumar Behara; Venkata Krishnan Ramaswamy; Mark Mackey; John D. Chodera; Jamshed Anwar; David L. Mobley; Daniel J. Cole,2022,,,0000-0003-2933-0719,4
10.26434/CHEMRXIV-2025-597H9/V2,Developing and benchmarking Sage 2.3.0 with the AshGC neural network charge model,Lily Wang; Irfan Alibay; Simon Boothroyd; Chapin Cavender; Joshua Horton; Alexandra McIsaac; Joshua Mitchell; Matthew Thompson; Jeffrey Wagner; Brent Westbrook; Christopher Bayly; John Chodera; Daniel Cole; James Eastwood; Michael Shirts; David Mobley,2026,,,0000-0002-6095-6704,3
10.33011/LIVECOMS.6.1.3871,Structure-Based Experimental Datasets for Benchmarking Protein Simulation Force Fields [Article v1.0],Chapin E. Cavender; David A. Case; Julian C.-H. Chen; Lillian T. Chong; Daniel A. Keedy; Kresten Lindorff-Larsen; David L. Mobley; O. H. Samuli Ollila; Chris Oostenbrink; Paul J. Robustelli; Vincent A. Voelz; Michael E. Wall; David C. Wych; Michael K. Gilson,2025,,,0000-0002-5899-7953; 0000-0002-1083-5533,3
10.26434/CHEMRXIV-2025-597H9,Developing and benchmarking Sage 2.3.0 with the AshGC neural network charge model,Lily Wang; Irfan Alibay; Simon Boothroyd; Chapin Cavender; Joshua Horton; Alexandra McIsaac; Joshua Mitchell; Matthew Thompson; Jeffrey Wagner; Brent Westbrook; John Chodera; Daniel Cole; Michael Shirts; David Mobley,2025,,,0000-0002-6095-6704,3
10.1039/D4SC00690A,Machine-learned molecular mechanics force fields from large-scale quantum chemical data,Kenichiro Takaba; Anika J. Friedman; Chapin E. Cavender; Pavan Kumar Behara; Iván Pulido; Michael M. Henry; Hugo MacDermott-Opeskin; Christopher R. Iacovella; Arnav M. Nagle; Alexander Matthew Payne; Michael R. Shirts; David L. Mobley; John D. Chodera; Yuanqing Wang,2024,,,0000-0002-5899-7953,3
10.1021/ACS.JPCB.4C03167,Benchmarking Quantum Mechanical Levels of Theory for Valence Parametrization in Force Fields,Pavan Kumar Behara; Hyesu Jang; Joshua T. Horton; Trevor Gokey; David L. Dotson; Simon Boothroyd; Christopher I. Bayly; Daniel J. Cole; Lee-Ping Wang; David L. Mobley,2024,,,0000-0003-2933-0719; 0000-0002-1083-5533,3
